Energy,O_XANES
497.4778531529643,5.071160393951966e-05
497.4978531529643,5.148427572412608e-05
497.51785315296434,5.224589568957674e-05
497.5378531529643,5.2996129393639025e-05
497.5578531529643,5.3734676394548625e-05
497.57785315296434,5.4461270720867455e-05
497.5978531529643,5.517568025653129e-05
497.6178531529643,5.587770693574776e-05
497.63785315296434,5.656718621881546e-05
497.6578531529643,5.7243987162834095e-05
497.6778531529643,5.790801149817156e-05
497.69785315296434,5.855919287383483e-05
497.7178531529643,5.919749632349411e-05
497.7378531529643,5.982291722318028e-05
497.7578631529643,6.043578439675543e-05
497.7778631529643,6.103553817513612e-05
497.79786315296434,6.162256888893783e-05
497.8178631529643,6.219698373075053e-05
497.8378631529643,6.275891423357338e-05
497.85786315296434,6.330851579805396e-05
497.8778631529643,6.384596598722318e-05
497.8978631529643,6.437146301132622e-05
497.9178631529643,6.488522438970542e-05
497.9378631529643,6.538748573768575e-05
497.9578631529643,6.587849888254904e-05
497.9778631529643,6.635853096998601e-05
497.9978631529643,6.682786241898773e-05
498.0178631529643,6.72867857310449e-05
498.0378631529643,6.773560418474791e-05
498.05786315296433,6.81746301258836e-05
498.0778631529643,6.860418371611643e-05
498.0978631529643,6.902459224848923e-05
498.11786315296433,6.943618748039207e-05
498.1378631529643,6.983930574273745e-05
498.1578631529643,7.023428565771504e-05
498.17786315296433,7.0621467809522e-05
498.1978631529643,7.100119325902572e-05
498.2178631529643,7.137380255914366e-05
498.23786315296434,7.173963473841031e-05
498.2578631529643,7.209902645017698e-05
498.27787315296433,7.245248620868057e-05
498.2978731529643,7.279999051525533e-05
498.3178731529643,7.314204194482713e-05
498.33787315296433,7.347895971019755e-05
498.3578731529643,7.381105707926241e-05
498.3778731529643,7.413864062537447e-05
498.39787315296434,7.446200998616698e-05
498.4178731529643,7.478145736089963e-05
498.4378731529643,7.509726708332218e-05
498.45787315296434,7.540971540933864e-05
498.4778731529643,7.571907027992916e-05
498.4978731529643,7.602559102551761e-05
498.51787315296434,7.632952835577483e-05
498.5378731529643,7.663112414053155e-05
498.5578731529643,7.693061135063671e-05
498.57787315296434,7.722821415559692e-05
498.5978731529643,7.752414778265197e-05
498.6178731529643,7.781861864752995e-05
498.6378731529643,7.811182460563377e-05
498.6578731529643,7.840395470333526e-05
498.6778731529643,7.869518965430111e-05
498.6978731529643,7.898570177891095e-05
498.71787315296433,7.927565535901253e-05
498.7378731529643,7.956520673505037e-05
498.7578731529643,7.985450455423614e-05
498.77787315296433,8.014369002372286e-05
498.7978731529643,8.04328971360054e-05
498.8178831529643,8.07223976568524e-05
498.8378831529643,8.101202259679273e-05
498.8578831529643,8.130203051873881e-05
498.87788315296433,8.159252917330529e-05
498.8978831529643,8.18836204045171e-05
498.9178831529643,8.217540048188251e-05
498.93788315296433,8.246796031636287e-05
498.9578831529643,8.276138571407724e-05
498.9778831529643,8.305575772413739e-05
498.99788315296433,8.335115283095398e-05
499.0178831529643,8.364764322001968e-05
499.0378831529643,8.394529704096333e-05
499.05788315296434,8.424417865002807e-05
499.0778831529643,8.454434881802225e-05
