Energy,O_XES
477.42482800603415,4.900467036988615e-05
477.44482800603413,4.938866239509851e-05
477.46482800603417,4.972945632760534e-05
477.48482800603415,5.003140005117161e-05
477.50482800603413,5.029879396955343e-05
477.52482800603417,5.053577929274223e-05
477.54482800603415,5.074627642563601e-05
477.56482800603413,5.093393817127141e-05
477.5848280060342,5.110212257205211e-05
477.60482800603415,5.125387867292703e-05
477.62482800603414,5.1391943057465476e-05
477.6448280060341,5.151874225251744e-05
477.66482800603416,5.163640093465992e-05
477.68482800603414,5.174675447680249e-05
477.70483800603415,5.1851416489516414e-05
477.72483800603413,5.195159235122131e-05
477.7448380060342,5.204841495351928e-05
477.76483800603415,5.2142758322121016e-05
477.78483800603414,5.2235317424309606e-05
477.8048380060342,5.232663443466179e-05
477.82483800603416,5.2417124193207025e-05
477.84483800603414,5.2507097896695454e-05
477.8648380060341,5.259678438849041e-05
477.88483800603416,5.268634864135335e-05
477.90483800603414,5.277590728338995e-05
477.9248380060341,5.286554122345492e-05
477.94483800603416,5.2955305606808926e-05
477.96483800603414,5.3045237435604304e-05
477.9848380060341,5.313536123642242e-05
478.00483800603416,5.322569318364286e-05
478.02483800603414,5.331624393639962e-05
478.0448380060341,5.340702063989647e-05
478.06483800603417,5.349802823069371e-05
478.08483800603415,5.358927027492135e-05
478.10483800603413,5.3680749498964344e-05
478.12483800603417,5.377246809749325e-05
478.14483800603415,5.3864427914824564e-05
478.16483800603413,5.3956630522118074e-05
478.18483800603417,5.404907726470292e-05
478.20483800603415,5.4141769265892627e-05
478.22484800603416,5.423475396166812e-05
478.24484800603415,5.432793909813794e-05
478.26484800603413,5.44213715621981e-05
478.28484800603417,5.451505165555378e-05
478.30484800603415,5.460897951803614e-05
478.32484800603413,5.4703155206740094e-05
478.34484800603417,5.479757871693597e-05
478.36484800603415,5.4892250064843936e-05
478.38484800603413,5.498716933970032e-05
478.4048480060342,5.508233675028835e-05
478.42484800603415,5.517775266255578e-05
478.44484800603414,5.527341762969498e-05
478.4648480060341,5.536933240479863e-05
478.48484800603416,5.546549793922197e-05
478.50484800603414,5.556191537067425e-05
478.5248480060342,5.5658586005263345e-05
478.54484800603416,5.575551132376176e-05
478.56484800603414,5.585269290836799e-05
478.5848480060341,5.595013244980385e-05
478.60484800603416,5.6047831713213716e-05
478.62484800603414,5.61457924991303e-05
478.6448480060341,5.624401661298981e-05
478.66484800603416,5.634250581972798e-05
478.68484800603414,5.644126180747728e-05
478.7048480060341,5.6540286130467624e-05
478.72484800603416,5.66395801771459e-05
478.74484800603415,5.673914512619589e-05
478.76485800603416,5.6839031911290344e-05
478.78485800603414,5.69391413931704e-05
478.8048580060341,5.703952389734578e-05
478.82485800603416,5.7140179680256966e-05
478.84485800603414,5.7241108841904046e-05
478.8648580060341,5.7342311387615895e-05
478.88485800603416,5.7443787278117446e-05
478.90485800603415,5.754553653663392e-05
478.9248580060341,5.7647559292824204e-05
478.94485800603417,5.77498558615773e-05
478.96485800603415,5.7852426778757924e-05
478.98485800603413,5.795527283751814e-05
479.00485800603417,5.805839509011565e-05
479.02485800603415,5.816179485607637e-05
479.04485800603413,5.8265473671151054e-05
479.06485800603417,5.836943326750956e-05
479.08485800603415,5.847367555490376e-05
479.10485800603414,5.857820251145514e-05
479.1248580060342,5.868301619051836e-05
479.14485800603416,5.878811864340043e-05
479.16485800603414,5.8893511882397364e-05
479.1848580060341,5.899919783425594e-05
479.20485800603416,5.910517831031497e-05
479.22485800603414,5.9211454957684576e-05
479.2448580060341,5.9318029244240795e-05
479.26485800603416,5.9424902429169774e-05
479.28485800603414,5.953207555553799e-05
479.30486800603416,5.9639603254153265e-05
479.32486800603414,5.974737866906813e-05
479.3448680060342,5.985545590659342e-05
479.36486800603416,5.996383525539618e-05
479.38486800603414,6.0072516936932445e-05
479.4048680060341,6.0181501121874796e-05
479.42486800603416,6.0290788020181884e-05
479.44486800603414,6.0400377934361464e-05
479.4648680060341,6.051027130666873e-05
479.48486800603416,6.06204687574778e-05
479.50486800603414,6.073097111617391e-05
479.5248680060341,6.084177943277917e-05
479.54486800603416,6.095289497363783e-05
479.56486800603415,6.106431920585607e-05
479.5848680060341,6.117605377496218e-05
479.60486800603417,6.128810051259342e-05
479.62486800603415,6.140046134904927e-05
479.64486800603413,6.151313832395004e-05
479.66486800603417,6.162613354902763e-05
479.68486800603415,6.173944916708017e-05
479.70486800603413,6.185308732375977e-05
479.72486800603417,6.196705012360874e-05
479.74486800603415,6.208133959888995e-05
479.76486800603413,6.219595765374619e-05
479.7848680060342,6.231090603825848e-05
479.80486800603416,6.242618630525588e-05
479.82487800603417,6.25418576803397e-05
479.84487800603415,6.265780565001643e-05
479.86487800603413,6.277408881456065e-05
479.88487800603417,6.289070785592057e-05
479.90487800603415,6.300766327311555e-05
479.92487800603413,6.31249554777883e-05
479.9448780060342,6.324258481042304e-05
479.96487800603416,6.336055163900809e-05
479.98487800603414,6.347885641759562e-05
480.0048780060341,6.359749973840298e-05
480.02487800603416,6.371648237493555e-05
480.04487800603414,6.38358053174946e-05
480.0648780060341,6.395546978830817e-05
480.08487800603416,6.407547723994068e-05
480.10487800603414,6.419582934210402e-05
480.1248780060341,6.431652796132577e-05
480.14487800603416,6.443757517387366e-05
480.16487800603414,6.45589731725918e-05
480.1848780060341,6.468072428117091e-05
480.20487800603416,6.480283091369175e-05
480.22487800603415,6.492529552795959e-05
480.2448780060341,6.504812059114635e-05
480.26487800603417,6.517130852637524e-05
480.28487800603415,6.529486167251335e-05
480.30487800603413,6.541878221632247e-05
480.32487800603417,6.554307215854794e-05
480.34487800603415,6.566773326232483e-05
480.36488800603416,6.579282963976597e-05
480.38488800603415,6.591823747554424e-05
480.4048880060341,6.604402016368254e-05
480.42488800603417,6.617017842582773e-05
480.44488800603415,6.629671280955157e-05
480.46488800603413,6.642362375910284e-05
480.48488800603417,6.655091166793845e-05
480.50488800603415,6.667857700815283e-05
480.52488800603413,6.680662037480347e-05
480.54488800603417,6.693504257976394e-05
480.56488800603415,6.70638446906785e-05
480.58488800603413,6.719302807453704e-05
480.6048880060342,6.73225943986896e-05
480.62488800603415,6.745254564456911e-05
480.64488800603414,6.758288404421478e-05
480.6648880060342,6.771361206160541e-05
480.68488800603416,6.784473237673734e-05
480.70488800603414,6.797624774786587e-05
480.7248880060341,6.81081610309186e-05
480.74488800603416,6.824047508443338e-05
480.76488800603414,6.837319272847503e-05
480.7848880060341,6.850631668976566e-05
480.80488800603416,6.863984956892261e-05
480.82488800603414,6.87737937806882e-05
480.8448880060341,6.890815153955725e-05
480.86488800603416,6.904292482396138e-05
480.88488800603415,6.917811536880994e-05
480.90489800603416,6.931379256384411e-05
480.92489800603414,6.944982205528827e-05
480.9448980060341,6.958627260566044e-05
480.96489800603416,6.972314509952479e-05
480.98489800603414,6.986044035433477e-05
481.0048980060341,6.999815912951373e-05
481.02489800603416,7.013630223639411e-05
481.04489800603415,7.027487059876505e-05
481.0648980060341,7.041386530571134e-05
481.08489800603417,7.055328765614404e-05
481.10489800603415,7.069313919584364e-05
481.12489800603413,7.083342173163815e-05
481.14489800603417,7.097413732662693e-05
481.16489800603415,7.111528828278289e-05
481.18489800603413,7.125687711534021e-05
481.20489800603417,7.139890656971693e-05
481.22489800603415,7.154137950783346e-05
481.24489800603413,7.168429892912059e-05
481.2648980060342,7.182766792594426e-05
481.28489800603415,7.197148963374539e-05
481.30489800603414,7.211576719947902e-05
481.3248980060341,7.226050372902529e-05
481.34489800603416,7.240570225320735e-05
481.36489800603414,7.255136565972777e-05
481.3848980060342,7.269749666681912e-05
481.40489800603416,7.284409777140253e-05
481.4249080060342,7.299124488247044e-05
481.44490800603415,7.313879291525496e-05
481.46490800603414,7.328681702814611e-05
481.4849080060342,7.343531874625274e-05
481.50490800603416,7.358429938690964e-05
481.52490800603414,7.373376018094159e-05
481.5449080060341,7.388370227932525e-05
481.56490800603416,7.403412687482041e-05
481.58490800603414,7.4185035268908e-05
481.6049080060341,7.433642893010103e-05
481.62490800603416,7.44883095444035e-05
481.64490800603414,7.464067905818345e-05
481.6649080060341,7.479353969666838e-05
481.68490800603416,7.49468939623046e-05
481.70490800603415,7.510074462017576e-05
481.7249080060341,7.525509467451328e-05
481.74490800603417,7.54099473934271e-05
481.76490800603415,7.556530618542219e-05
481.78490800603413,7.572117462646937e-05
481.80490800603417,7.587755641122495e-05
481.82490800603415,7.603445529597365e-05
481.84490800603413,7.619187506014274e-05
481.86490800603417,7.634981944226575e-05
481.88490800603415,7.650829209599184e-05
481.90490800603413,7.666729650708768e-05
481.9249080060342,7.682683595872714e-05
481.94490800603415,7.69869134693016e-05
481.96491800603417,7.714761221180009e-05
481.98491800603415,7.730877397767812e-05
482.00491800603413,7.747048108063945e-05
482.02491800603417,7.763273538096012e-05
482.04491800603415,7.77955385522773e-05
482.06491800603413,7.795889216411399e-05
482.0849180060342,7.81227977343818e-05
482.10491800603415,7.828725689236027e-05
482.12491800603414,7.845227141957204e-05
482.1449180060341,7.861784336545375e-05
482.16491800603416,7.878397508924669e-05
482.18491800603414,7.895066931408826e-05
482.2049180060342,7.911792912613059e-05
482.22491800603416,7.928575799827977e-05
482.24491800603414,7.94541597073689e-05
482.2649180060341,7.962313831957746e-05
482.28491800603416,7.979269818208146e-05
482.30491800603414,7.996284374090469e-05
482.3249180060341,8.013357958433879e-05
482.34491800603416,8.030491032146016e-05
482.36491800603415,8.04768405372971e-05
482.3849180060341,8.064937472682183e-05
482.40491800603417,8.082251726037373e-05
482.42491800603415,8.099627230746016e-05
482.44491800603413,8.117064382590322e-05
482.46491800603417,8.134563551656015e-05
482.48491800603415,8.152125081683138e-05
482.50492800603416,8.169758116318322e-05
482.52492800603414,8.187445323216605e-05
482.5449280060341,8.205195770572166e-05
482.56492800603417,8.223009710751566e-05
482.58492800603415,8.240887391483187e-05
482.60492800603413,8.258829055022215e-05
482.62492800603417,8.27683495223164e-05
482.64492800603415,8.294905349643375e-05
482.66492800603413,8.313040535280465e-05
482.68492800603417,8.331240824016577e-05
482.70492800603415,8.349506562179521e-05
482.72492800603413,8.36783812936322e-05
482.7449280060342,8.386235937877787e-05
482.76492800603415,8.404700430852866e-05
482.78492800603414,8.423232079223632e-05
482.8049280060342,8.44183138528832e-05
482.82492800603416,8.46049886700542e-05
482.84492800603414,8.479235062151214e-05
482.8649280060341,8.498040522896893e-05
482.88492800603416,8.51691580955949e-05
482.90492800603414,8.535861487191585e-05
482.9249280060341,8.554878119138807e-05
482.94492800603416,8.573966263544029e-05
482.96492800603414,8.593126464667086e-05
482.9849280060341,8.612359250592959e-05
483.00492800603416,8.63166512675662e-05
483.0249380060342,8.651054281948727e-05
483.04493800603416,8.670507789578393e-05
483.06493800603414,8.690035748506653e-05
483.0849380060341,8.709638565352923e-05
483.10493800603416,8.729316625167067e-05
483.12493800603414,8.749070308155266e-05
483.1449380060341,8.768899987906427e-05
483.16493800603416,8.788806047356058e-05
483.18493800603414,8.808788886722974e-05
483.2049380060341,8.828848929852198e-05
483.22493800603417,8.848986630426023e-05
483.24493800603415,8.869202477384705e-05
483.26493800603413,8.889496997333178e-05
483.28493800603417,8.909870754362091e-05
483.30493800603415,8.930324348565095e-05
483.32493800603413,8.950858413232877e-05
483.34493800603417,8.971473619902508e-05
483.36493800603415,8.99217066065824e-05
483.38493800603413,9.012950253597802e-05
483.4049380060342,9.033813136884393e-05
483.42493800603415,9.054760061509425e-05
483.44493800603414,9.075791787202193e-05
