Energy,O_XAS
497.42482800603415,5.9718110473670976e-05
497.44482800603413,6.0545013644758545e-05
497.46482800603417,6.135933606133611e-05
497.48482800603415,6.216080740650803e-05
497.50482800603413,6.294919331032045e-05
497.52482800603417,6.372429318911044e-05
497.54482800603415,6.448594108422139e-05
497.56482800603413,6.523400485062222e-05
497.5848280060342,6.596838582709826e-05
497.60482800603415,6.668901777567847e-05
497.62482800603414,6.739586674404348e-05
497.6448280060342,6.808892962416183e-05
497.66482800603416,6.876823355277903e-05
497.68482800603414,6.943383470140608e-05
497.70483800603415,7.008614021112496e-05
497.72483800603413,7.07246088181011e-05
497.7448380060342,7.134970653284031e-05
497.76483800603415,7.196159445720392e-05
497.78483800603414,7.256045597267398e-05
497.8048380060342,7.314649671658076e-05
497.82483800603416,7.371994195014704e-05
497.84483800603414,7.428103577863548e-05
497.8648380060341,7.483003930184917e-05
497.88483800603416,7.53672296115741e-05
497.90483800603414,7.589289801185625e-05
497.9248380060341,7.640734863250853e-05
497.94483800603416,7.691089687978804e-05
497.96483800603414,7.740386857253226e-05
497.9848380060341,7.788659820260493e-05
498.00483800603416,7.835942629373744e-05
498.02483800603414,7.882270071391297e-05
498.0448380060341,7.927677334327484e-05
498.06483800603417,7.972199955771308e-05
498.08483800603415,8.015873701539494e-05
498.10483800603413,8.058734447038297e-05
498.12483800603417,8.100818069308588e-05
498.14483800603415,8.142160343818742e-05
498.16483800603413,8.1827968597038e-05
498.18483800603417,8.222762915821601e-05
498.20483800603415,8.262093446211247e-05
498.22484800603416,8.300842166443982e-05
498.24484800603415,8.339004325346568e-05
498.26484800603413,8.376632833148358e-05
498.28484800603417,8.413760445838455e-05
498.30484800603415,8.450419231190036e-05
498.32484800603413,8.486640509484727e-05
498.34484800603417,8.522454839467667e-05
498.36484800603415,8.557891952492873e-05
498.38484800603413,8.592980747248626e-05
498.4048480060342,8.6277492460327e-05
498.42484800603415,8.662224592992874e-05
498.44484800603414,8.696433029769496e-05
498.4648480060342,8.730399888310305e-05
498.48484800603416,8.764149577495104e-05
498.50484800603414,8.797705605827013e-05
498.5248480060342,8.831090564140505e-05
498.54484800603416,8.864326101802185e-05
498.56484800603414,8.897433007218983e-05
498.5848480060341,8.93043115716627e-05
498.60484800603416,8.963339561278114e-05
498.62484800603414,8.996176368664864e-05
498.6448480060341,9.028958889594351e-05
498.66484800603416,9.061703612714002e-05
498.68484800603414,9.094426232554575e-05
498.7048480060341,9.127141668099369e-05
498.72484800603416,9.15986409130079e-05
498.74484800603415,9.192606950403309e-05
498.76485800603416,9.22539939742539e-05
498.78485800603414,9.25822073861857e-05
498.8048580060341,9.291098798040257e-05
498.82485800603416,9.324044398030742e-05
498.84485800603414,9.357067779060901e-05
498.8648580060341,9.390178622409948e-05
498.88485800603416,9.423386071450983e-05
498.90485800603415,9.456698773776455e-05
498.9248580060341,9.490124892245232e-05
498.94485800603417,9.523672142197997e-05
498.96485800603415,9.557347810508993e-05
498.98485800603413,9.591158784587873e-05
499.00485800603417,9.62511157146083e-05
499.02485800603415,9.659212331446846e-05
499.04485800603413,9.693466887279121e-05
499.06485800603417,9.72788075324155e-05
499.08485800603415,9.762459167030169e-05
499.10485800603414,9.79720708323182e-05
499.1248580060342,9.832129219613928e-05
499.14485800603416,9.867230059632891e-05
499.16485800603414,9.902513875932338e-05
499.1848580060341,9.937984743659614e-05
499.20485800603416,9.9736465623811e-05
499.22485800603414,0.0001000950306264525
499.2448580060341,0.00010045557827800358
499.26485800603416,0.00010081814302696426
499.28485800603414,0.00010118275808681223
499.30486800603416,0.00010154963939224396
499.32486800603414,0.00010191845130569146
499.3448680060342,0.00010228940685469622
499.36486800603416,0.00010266253529906557
499.38486800603414,0.00010303786532809379
499.4048680060341,0.00010341542484700354
499.42486800603416,0.00010379524125868929
499.44486800603414,0.00010417734149091357
499.4648680060341,0.0001045617520512168
499.48486800603416,0.00010494849905976193
499.50486800603414,0.00010533760835023619
499.5248680060341,0.00010572910552236078
499.54486800603416,0.00010612301596438703
499.56486800603415,0.00010651936490254477
499.5848680060341,0.00010691817740962574
499.60486800603417,0.00010731947868709296
499.62486800603415,0.00010772329370103447
499.64486800603413,0.00010812964747022039
499.66486800603417,0.00010853856509449267
499.68486800603415,0.00010895007169597471
499.70486800603413,0.00010936419249281423
499.72486800603417,0.00010978095280447808
499.74486800603415,0.00011020037812065148
499.76486800603413,0.0001106224940361518
499.7848680060342,0.00011104732636070194
499.80486800603416,0.00011147490107861717
499.82487800603417,0.00011190546026903334
499.84487800603415,0.00011233859998313054
499.86487800603413,0.00011277456135298608
499.88487800603417,0.0001132133713541497
499.90487800603415,0.00011365505706885666
499.92487800603413,0.00011409964605580853
499.9448780060342,0.00011454716597611471
499.96487800603416,0.00011499764486754651
499.98487800603414,0.00011545111109335515
500.0048780060341,0.00011590759333759862
500.02487800603416,0.00011636712057335017
500.04487800603414,0.0001168297221276838
500.0648780060341,0.00011729542768810917
500.08487800603416,0.00011776426727569725
500.10487800603414,0.00011823627125653503
500.1248780060341,0.00011871147030634634
500.14487800603416,0.000119189895733752
500.16487800603414,0.00011967157896713976
500.1848780060341,0.00012015655189309589
500.20487800603416,0.00012064484686169308
500.22487800603415,0.00012113649657973787
500.2448780060341,0.00012163153417981396
500.26487800603417,0.0001221299932041912
500.28487800603415,0.00012263190767140028
500.30487800603413,0.00012313731197393296
500.32487800603417,0.0001236462410017747
500.34487800603415,0.00012415873007607392
500.36488800603416,0.00012467507395112285
500.38488800603415,0.0001251947927319798
500.4048880060341,0.00012571818039181006
500.42488800603417,0.0001262452740813065
500.44488800603415,0.00012677611153331283
500.46488800603413,0.00012731073102204303
500.48488800603417,0.00012784917114196413
500.50488800603415,0.0001283914712452918
500.52488800603413,0.00012893767103630086
500.54488800603417,0.0001294878108776102
500.56488800603415,0.00013004193160049551
500.58488800603413,0.00013060007463557718
500.6048880060342,0.00013116228190091978
500.62488800603415,0.00013172859605108792
500.64488800603414,0.00013229906012471182
500.6648880060342,0.0001328737177622073
500.68488800603416,0.00013345261355534287
500.70488800603414,0.00013403579223567565
500.7248880060341,0.00013462329947696428
500.74488800603416,0.00013521518146911754
500.76488800603414,0.00013581148508079888
500.7848880060341,0.00013641225779107604
500.80488800603416,0.00013701754784396618
500.82488800603414,0.0001376274040670066
500.8448880060341,0.00013824187605184
500.86488800603416,0.00013886101406860405
500.88488800603415,0.00013948486912962826
500.90489800603416,0.000140113808438943
500.92489800603414,0.00014074725583130445
500.9448980060341,0.0001413855777775703
500.96489800603416,0.00014202882812145887
500.98489800603414,0.00014267706184030435
501.0048980060341,0.00014333033439284607
501.02489800603416,0.0001439887021884944
501.04489800603415,0.0001446522224970267
501.0648980060341,0.00014532095344012185
501.08489800603417,0.00014599495393398927
501.10489800603415,0.00014667428380384044
501.12489800603413,0.000147359003796646
501.14489800603417,0.00014804917553368278
501.16489800603415,0.00014874486153997553
501.18489800603413,0.00014944612517973931
501.20489800603417,0.0001501530312230195
501.22489800603415,0.00015086564496586915
501.24489800603413,0.0001515840328098796
501.2648980060342,0.00015230826229501915
501.28489800603415,0.00015303840190721986
501.30489800603414,0.00015377452120916588
501.3248980060342,0.00015451669082046135
501.34489800603416,0.00015526498254108333
501.36489800603414,0.0001560194691812016
501.3848980060341,0.00015678022478321326
501.40489800603416,0.00015754732451785523
501.4249080060342,0.0001583212331694344
501.44490800603415,0.0001591012547354274
501.46490800603414,0.00015988785317235885
501.4849080060342,0.00016068110871433753
501.50490800603416,0.00016148110250220648
501.52490800603414,0.00016228791746761325
501.5449080060341,0.00016310163744147184
501.56490800603416,0.0001639223478055078
501.58490800603414,0.00016475013537670534
501.6049080060341,0.0001655850884028352
