Energy,O_XES
477.4778531529643,5.278339933558595e-05
477.4978531529643,5.317003255461292e-05
477.51785315296434,5.3512213432002884e-05
477.5378531529643,5.381518102224596e-05
477.5578531529643,5.408382178276672e-05
477.57785315296434,5.43226360285037e-05
477.5978531529643,5.453571427223967e-05
477.6178531529643,5.472675395552957e-05
477.63785315296434,5.4899069042906975e-05
477.6578531529643,5.5055617937072e-05
477.6778531529643,5.519902349025611e-05
477.6978531529643,5.533159593305585e-05
477.7178531529643,5.545535326020954e-05
477.7378531529643,5.557204035760632e-05
477.7578631529643,5.568320209472314e-05
477.7778631529643,5.578998361376976e-05
477.79786315296434,5.589348289389092e-05
477.8178631529643,5.599454882713162e-05
477.8378631529643,5.609386102563677e-05
477.85786315296434,5.619195326571514e-05
477.8778631529643,5.6289236566073875e-05
477.8978631529643,5.638602105282084e-05
477.9178631529643,5.648253594159092e-05
477.9378631529643,5.6578947123066945e-05
477.9578631529643,5.6675372156272835e-05
477.9778631529643,5.677189258440567e-05
477.9978631529643,5.686856379005875e-05
478.0178631529643,5.69654225902089e-05
478.0378631529643,5.7062492973895385e-05
478.05786315296433,5.715979028647009e-05
478.0778631529643,5.725732422596608e-05
478.0978631529643,5.735510091086389e-05
478.11786315296433,5.745312432156457e-05
478.1378631529643,5.7551397205174125e-05
478.1578631529643,5.764992170367281e-05
478.17786315296433,5.7748699693740654e-05
478.1978631529643,5.7847732996986035e-05
478.2178631529643,5.794702347486499e-05
478.23786315296434,5.80465730534151e-05
478.2578631529643,5.814638369581805e-05
478.27787315296433,5.824650746187466e-05
478.2978731529643,5.8346846158848155e-05
478.3178731529643,5.844745155066647e-05
478.33787315296433,5.8548325268461555e-05
478.3578731529643,5.8649468762539365e-05
478.3778731529643,5.87508833089438e-05
478.39787315296434,5.8852569994817064e-05
478.4178731529643,5.8954529737066616e-05
478.4378731529643,5.905676329521916e-05
478.45787315296434,5.915927129622729e-05
478.4778731529643,5.926205423426805e-05
478.4978731529643,5.936511250148902e-05
478.5178731529643,5.9468446386077225e-05
478.5378731529643,5.9572056112555525e-05
478.5578731529643,5.967594184830964e-05
478.57787315296434,5.978010375135492e-05
478.5978731529643,5.988454200618886e-05
478.6178731529643,5.998925688150723e-05
478.6378731529643,6.009424876980631e-05
478.6578731529643,6.01995182707802e-05
478.6778731529643,6.0305066202873064e-05
478.6978731529643,6.041089366646854e-05
478.71787315296433,6.05170020273757e-05
478.7378731529643,6.062339291169017e-05
478.7578731529643,6.073006817074457e-05
478.77787315296433,6.0837029828161534e-05
478.7978731529643,6.094428000445815e-05
478.8178831529643,6.105187468728898e-05
478.8378831529643,6.11597084121723e-05
478.8578831529643,6.126783686264473e-05
478.87788315296433,6.137626184611351e-05
478.8978831529643,6.14849849654995e-05
478.9178831529643,6.15940076228637e-05
478.93788315296433,6.17033310039564e-05
478.9578831529643,6.181295608862861e-05
478.9778831529643,6.192288369309615e-05
478.99788315296433,6.203311447785362e-05
479.0178831529643,6.214364897407818e-05
479.0378831529643,6.2254487619477e-05
479.05788315296434,6.236563078572968e-05
479.0778831529643,6.247707880229831e-05
479.0978831529643,6.258883201085849e-05
479.11788315296434,6.270089078078519e-05
479.1378831529643,6.281325557377702e-05
479.1578831529643,6.292592698371883e-05
479.17788315296434,6.303890576759079e-05
479.1978831529643,6.315219290618604e-05
479.2178831529643,6.326578961487147e-05
479.2378831529643,6.337969736212203e-05
479.2578831529643,6.349391784245838e-05
479.2778831529643,6.360845295961837e-05
479.2978831529643,6.372330478078938e-05
479.3178831529643,6.38384754708582e-05
479.3378831529643,6.395396723119973e-05
479.3578931529643,6.406984019490422e-05
479.3778931529643,6.418598064174917e-05
479.39789315296434,6.43024483371268e-05
479.4178931529643,6.441924504910222e-05
479.4378931529643,6.45363723776324e-05
479.4578931529643,6.465383173140257e-05
479.4778931529643,6.477162434398296e-05
479.4978931529643,6.48897512833774e-05
479.5178931529643,6.500821347728797e-05
479.53789315296433,6.512701170941668e-05
479.5578931529643,6.524614665488449e-05
479.5778931529643,6.536561887667738e-05
479.59789315296433,6.548542887327606e-05
479.6178931529643,6.560557708440962e-05
479.6378931529643,6.572606394547919e-05
479.65789315296433,6.584688992526143e-05
479.6778931529643,6.596805558863796e-05
479.6978931529643,6.608956163599731e-05
479.71789315296434,6.621140899527072e-05
479.7378931529643,6.633359882775986e-05
479.7578931529643,6.645613259861132e-05
479.77789315296434,6.65790120535659e-05
479.7978931529643,6.670223921341027e-05
479.8178931529643,6.682581633612606e-05
479.83789315296434,6.694974586134179e-05
479.8578931529643,6.707403033056518e-05
479.87790315296434,6.719873472310977e-05
479.8979031529643,6.732373689539467e-05
479.9179031529643,6.744910149448672e-05
479.93790315296434,6.757483075731686e-05
479.9579031529643,6.770092671928049e-05
479.9779031529643,6.782739122312727e-05
479.99790315296434,6.795422589766695e-05
480.0179031529643,6.808143217947111e-05
480.0379031529643,6.820901132640109e-05
480.0579031529643,6.833696444746668e-05
480.0779031529643,6.8465292499368e-05
480.0979031529643,6.859399632570497e-05
480.1179031529643,6.87230766520462e-05
480.1379031529643,6.88525341373016e-05
480.1579031529643,6.898236937817509e-05
480.1779031529643,6.91125829675131e-05
480.19790315296433,6.924317553373926e-05
480.2179031529643,6.937414780830711e-05
480.2379031529643,6.950550066743376e-05
480.25790315296433,6.96372352327531e-05
480.2779031529643,6.97693528770066e-05
480.2979031529643,6.990185530249957e-05
480.31790315296433,7.003474451632212e-05
480.3379031529643,7.016802282614014e-05
480.3579031529643,7.030169280049147e-05
480.37790315296434,7.043575720953246e-05
480.3979031529643,7.057021893823639e-05
480.41791315296433,7.070514843561999e-05
480.4379131529643,7.084041368102911e-05
480.4579131529643,7.097608475472358e-05
480.47791315296433,7.111216420463536e-05
480.4979131529643,7.124865434851711e-05
480.5179131529643,7.138555728108903e-05
480.53791315296434,7.152287485226005e-05
480.5579131529643,7.16606086774654e-05
480.5779131529643,7.179876019044745e-05
480.59791315296434,7.193733064826422e-05
480.6179131529643,7.207632116145548e-05
480.6379131529643,7.221573273766956e-05
480.65791315296434,7.235556631359299e-05
480.6779131529643,7.249582278122876e-05
480.6979131529643,7.263650305561405e-05
480.71791315296434,7.277760808762277e-05
480.7379131529643,7.291913894294998e-05
480.7579131529643,7.306109684650167e-05
480.7779131529643,7.3203483214786e-05
480.7979131529643,7.334629972993262e-05
480.8179131529643,7.348954834864438e-05
480.8379131529643,7.363323132498876e-05
480.85791315296433,7.377735117561526e-05
480.8779131529643,7.392191066321748e-05
480.8979131529643,7.406691274484351e-05
480.91791315296433,7.421236049547839e-05
480.9379131529643,7.435825703944001e-05
480.9579231529643,7.45046787247182e-05
480.9779231529643,7.465148222227993e-05
480.9979231529643,7.479874343626444e-05
481.01792315296433,7.494646501912599e-05
481.0379231529643,7.509464943921016e-05
481.0579231529643,7.524329894892753e-05
481.07792315296433,7.539241560454007e-05
481.0979231529643,7.554200127600971e-05
481.1179231529643,7.569205767844379e-05
481.13792315296433,7.58425863632274e-05
481.1579231529643,7.599358876448481e-05
481.1779231529643,7.614506619088059e-05
481.19792315296434,7.629701988767071e-05
481.2179231529643,7.644945103875734e-05
481.2379231529643,7.660236083468437e-05
481.25792315296434,7.675575051361449e-05
481.2779231529643,7.690962143587934e-05
481.2979231529643,7.70639751246368e-05
481.31792315296434,7.721881337960155e-05
481.3379231529643,7.737413827353933e-05
481.3579231529643,7.752995224260346e-05
481.3779231529643,7.768625805141059e-05
481.3979231529643,7.784305878920215e-05
481.4179231529643,7.800035782672257e-05
481.43792315296434,7.81581587540547e-05
481.4579231529643,7.831646528767505e-05
481.47793315296434,7.847536072200582e-05
481.4979331529643,7.863468992364906e-05
481.5179331529643,7.879453577980194e-05
481.53793315296434,7.89549016978023e-05
481.5579331529643,7.911579086105696e-05
481.5779331529643,7.927720624368621e-05
481.5979331529643,7.943915057972745e-05
481.6179331529643,7.960162638969407e-05
481.6379331529643,7.976463599492513e-05
481.6579331529643,7.992818155509291e-05
481.67793315296433,8.009226505854951e-05
481.6979331529643,8.025688837470626e-05
481.7179331529643,8.042205324327533e-05
481.73793315296433,8.058776134246743e-05
481.7579331529643,8.075401428843637e-05
481.7779331529643,8.092081370945505e-05
481.79793315296433,8.108816128838001e-05
481.8179331529643,8.125605884370027e-05
481.8379331529643,8.142450837222024e-05
481.85793315296434,8.159351217507225e-05
481.8779331529643,8.17630728520055e-05
481.8979331529643,8.193319340360372e-05
481.91793315296434,8.210387719269151e-05
481.9379331529643,8.227512794268167e-05
481.9579331529643,8.24469496921515e-05
481.97793315296434,8.261934672851697e-05
481.9979331529643,8.279232348615148e-05
482.01794315296434,8.29659713807511e-05
482.0379431529643,8.314012126016229e-05
482.0579431529643,8.331486408858009e-05
482.07794315296434,8.349020397358229e-05
